,project_id,backers,goal,left,owner,location
0,https://www.indiegogo.com/projects/sirui-75mm-anamorphic-lens-king-of-portrait/pica,436 backers,61084% of $500,30 days left,SIRUI USA,"Verona, United States"
1,https://www.indiegogo.com/projects/livall-evo21-smart-helmet-360-active-protection/pica,"1,630 backers","2091% of $10,000",19 days left,LIVALL Riding,"San Ramon, United States"
2,https://www.indiegogo.com/projects/me-mum-a-new-method-for-predicting-fertility/pica,163 backers,"114% of $8,538",24 days left,Maja Bujas,"Zagreb, Croatia"
3,https://www.indiegogo.com/projects/gamma-all-season-graphene-infused-heated-jacket/pica,"by 7,232 backers","$2,484,603 USD by 7,161 backers",0,,
4,https://www.indiegogo.com/projects/edge-the-first-modular-work-from-home-kit/pica,"6,322 backers","3325% of $12,197",10 days left,Rolling Square,"Lugano, Switzerland"
5,https://www.indiegogo.com/projects/gosun-chillest-solar-cooler-that-doesn-t-need-ice/pica,518 backers,"2955% of $15,000",17 days left,GoSun Inc.,"Cincinnati, United States"
6,https://www.indiegogo.com/projects/olive-pro-2-in-1-hearing-aids-bluetooth-earbuds/pica,"by 9,101 backers","$882,157 USD by 3,977 backers",0,,
7,https://www.indiegogo.com/projects/oyeet-nex-pro-massage-gun-breakthrough-the-limits/pica,"2,735 backers","9019% of $4,998",5 days left,OYeet,"Hong Kong, Hong Kong"
8,https://www.indiegogo.com/projects/aawireless/pica,"by 31,520 backers","$648,932 USD by 8,600 backers",0,,
9,https://www.indiegogo.com/projects/kylgor-in-the-grisly-abyss-puppet-horror-fantasy/pica,20 backers,"26% of $4,969",30 days left,Mason Newton DeRushie,"Belleville, Canada"
10,https://www.indiegogo.com/projects/center-cam-finally-a-middle-screen-webcam--2/pica,"by 5,665 backers","$63,200 USD by 530 backers",0,,
11,https://www.indiegogo.com/projects/cinema-now-a-short-experimental-doc-about-cinema/pica,10 backers,"53% of $2,121",29 days left,Studio Holder,"London, United Kingdom"
12,https://www.indiegogo.com/projects/cinema-now-a-short-experimental-doc-about-cinema/pica,10 backers,"53% of $2,121",29 days left,Studio Holder,"London, United Kingdom"
13,https://www.indiegogo.com/projects/detroit-reawakening-a-detroit-become-human-short/pica,219 backers,"301% of $10,000",28 days left,Michelle Iannantuono,"Charleston, United States"
14,https://www.indiegogo.com/projects/onexplayer-best-performing-handheld-game-console/pica,"2,165 backers","7135% of $25,755",16 days left,ONE-NETBOOK,"Central, Hong Kong"
15,https://www.indiegogo.com/projects/the-lifeguards-film/pica,9 backers,"31% of $5,000",33 days left,Ellen Olis,"Savannah, United States"
16,https://www.indiegogo.com/projects/revolutionizing-sports-safety-and-training/pica,6 backers,"51% of $5,000",6 days left,Pedro Pachuca,"Pleasanton, United States"
17,https://www.indiegogo.com/projects/cimino-home-transform-your-bedroom/pica,39 backers,"137% of $10,000",41 days left,Samuel Cimino,"Los Angeles, United States"
18,https://www.indiegogo.com/projects/lomi-turn-waste-to-compost-with-a-single-button/pica,"17,357 backers","12828% of $50,000",10 days left,Pela,"Kelowna, Canada"
19,https://www.indiegogo.com/projects/ladies-night/pica,30 backers,"24% of $13,640",37 days left,Zoe Gronner,"New York, United States"
20,https://www.indiegogo.com/projects/cool-comfy-shoes-easy-on-you-and-the-planet/pica,654 backers,"621% of $12,197",10 days left,Undo For Tomorrow,"Lisbon, Portugal"
21,https://www.indiegogo.com/projects/bird-buddy-a-smart-bird-feeder/pica,"by 33,616 backers","$5,092,995 USD by 22,921 backers",0,,
22,https://www.indiegogo.com/projects/giant-sky-on-vinyl/pica,44 backers,"66% of $3,592",55 days left,Giant Sky,"Trondheim, Norway"
23,https://www.indiegogo.com/projects/world-s-smallest-cardiovascular-tester-icare/pica,"by 3,961 backers","$215,916 USD by 1,686 backers",0,,
24,https://www.indiegogo.com/projects/joyfous-retractable-rolling-shower-screen--2/pica,"1,434 backers","1708% of $10,000",16 days left,JoyFous Team,"Spokane, United States"
25,https://www.indiegogo.com/projects/joyfous-retractable-rolling-shower-screen--2/pica,"1,434 backers","1708% of $10,000",16 days left,JoyFous Team,"Spokane, United States"
26,https://www.indiegogo.com/projects/blusaigon-mother-of-pearl-legacy-pen-collection/pica,45 backers,"264% of $5,000",4 days left,BLUSAIGON MAISON,"PORTLAND, United States"
27,https://www.indiegogo.com/projects/pastoralists-to-permaculture-maasai-food-security--2/pica,7 backers,"7% of $11,592",29 days left,Maasai Conservation Foundation (MCF),"Brentwood Bay, Canada"
28,https://www.indiegogo.com/projects/between-pro-the-best-sounding-wireless-earbuds/pica,"by 12,023 backers","$329,132 USD by 3,364 backers",0,,
29,https://www.indiegogo.com/projects/trigger-point-rocker-feel-good-build-muscle/pica,"by 27,068 backers","$1,236,439 USD by 22,198 backers",0,,
30,https://www.indiegogo.com/projects/tempmi-the-world-s-smallest-tritium-thermometer/pica,"by 2,204 backers","$123,235 USD by 2,201 backers",0,,
31,https://www.indiegogo.com/projects/sensitive-men-rising-the-documentary--2/pica,2 backers,"4% of $25,000",30 days left,Tracy Cooper,"Ozark, United States"
