,url,title,image,description,category,balance,currency,progress,project_id
0,https://www.indiegogo.com/projects/sirui-75mm-anamorphic-lens-king-of-portrait/pica,SIRUI 75mm Anamorphic Lens King of Portrait,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/gp5aurjxy2arn8nbflwu.jpg",Enhance the artistic appeal of your footage and immerse your audience in an anamorphic world.,CAMERA GEAR,"$305,424 ",USD raised,"61,085%",https://www.indiegogo.com/projects/sirui-75mm-anamorphic-lens-king-of-portrait/pica
1,https://www.indiegogo.com/projects/livall-evo21-smart-helmet-360-active-protection/pica,LIVALL EVO21 Smart Helmet: 360 Active Protection,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/isxwv6z9ejscsj1iegjy.jpg","The world’s smartest lighting helmet with 270° rear light, patented fall detection and SOS alert",TRAVEL & OUTDOORS,"$209,162 ",USD raised,"2,092%",https://www.indiegogo.com/projects/livall-evo21-smart-helmet-360-active-protection/pica
2,https://www.indiegogo.com/projects/me-mum-a-new-method-for-predicting-fertility/pica,me.mum: a new method for predicting fertility,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/mbcrqblic4k2mnmr9pn9.jpg","From a drop of saliva, me.mum analyzes hormones and predicts the best possible time to conceive",HEALTH & FITNESS,"€8,028 ",EUR raised,115%,https://www.indiegogo.com/projects/me-mum-a-new-method-for-predicting-fertility/pica
3,https://www.indiegogo.com/projects/gamma-all-season-graphene-infused-heated-jacket/pica,GAMMA: All-Season Graphene Infused Heated Jacket,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/es7td4ynkw8hbvkxe3hx.jpg","The ultimate heated jacket: Graphene-infused, lightweight, waterproof, with 10 smart pockets!",TRAVEL & OUTDOORS,"$19,499,995 ",HKD raised,"49,472%",https://www.indiegogo.com/projects/gamma-all-season-graphene-infused-heated-jacket/pica
4,https://www.indiegogo.com/projects/edge-the-first-modular-work-from-home-kit/pica,EDGE - The First Modular Work From Home Kit,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/iulwys6gxhwl0jryclur.jpg","Your workstation, anywhere. Guaranteed to boost your productivity.",PRODUCTIVITY,"€332,588 ",EUR raised,"3,326%",https://www.indiegogo.com/projects/edge-the-first-modular-work-from-home-kit/pica
5,https://www.indiegogo.com/projects/gosun-chillest-solar-cooler-that-doesn-t-need-ice/pica,GoSun Chillest: Solar Cooler That Doesn’t Need Ice,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ibqvkk8sgg3icfmd4dze.jpg","45L cooler with 2 refrigeration zones. Keeps your food cold for 10+ hours. No ice needed, ever.",ENERGY & GREEN TECH,"$443,303 ",USD raised,"2,955%",https://www.indiegogo.com/projects/gosun-chillest-solar-cooler-that-doesn-t-need-ice/pica
6,https://www.indiegogo.com/projects/olive-pro-2-in-1-hearing-aids-bluetooth-earbuds/pica,Olive Pro: 2-in-1 Hearing Aids & Bluetooth Earbuds,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/hwb3ivjtnyb0zz9kskzu.jpg","Enhanced Hearing for Sounds, Music and Conversations. Affordable Hearing for All.",AUDIO,"$2,085,418 ",USD raised,"4,411%",https://www.indiegogo.com/projects/olive-pro-2-in-1-hearing-aids-bluetooth-earbuds/pica
7,https://www.indiegogo.com/projects/oyeet-nex-pro-massage-gun-breakthrough-the-limits/pica,OYeet NEX Pro Massage Gun: Breakthrough the Limits,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vj3uanwuo0pkpvlai3mi.jpg",60lbs Force｜40% Deeper Depth｜3500PPM｜1.2lbs Lightweight｜8 Pro Attachments｜240mins Runtime,HEALTH & FITNESS,"$3,500,866 ",HKD raised,"9,020%",https://www.indiegogo.com/projects/oyeet-nex-pro-massage-gun-breakthrough-the-limits/pica
8,https://www.indiegogo.com/projects/aawireless/pica,AAWireless,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/vuhdhxrvgagorxi07vr7.jpg",Bring wireless Android Auto connection to your car,PHONES & ACCESSORIES,"$2,673,795 ",USD raised,295%,https://www.indiegogo.com/projects/aawireless/pica
9,https://www.indiegogo.com/projects/kylgor-in-the-grisly-abyss-puppet-horror-fantasy/pica,Kylgor in the Grisly Abyss: Puppet Horror-Fantasy,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/dojshj7yed3ytb17uflq.jpg","A gore-soaked mix of Lord Of The Rings, Conan, and 80's Creature features, With puppets!",FILM,"$1,565 ",CAD raised,26%,https://www.indiegogo.com/projects/kylgor-in-the-grisly-abyss-puppet-horror-fantasy/pica
10,https://www.indiegogo.com/projects/center-cam-finally-a-middle-screen-webcam--2/pica,Center Cam: Finally- a middle-screen webcam!,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/kynagkdcekwvbctpmbgn.jpg",Center Cam is an adjustable webcam that operates in the middle of your screen.,CAMERA GEAR,"$729,736 ",USD raised,702%,https://www.indiegogo.com/projects/center-cam-finally-a-middle-screen-webcam--2/pica
11,https://www.indiegogo.com/projects/cinema-now-a-short-experimental-doc-about-cinema/pica,Cinema Now: A Short Experimental Doc about Cinema,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qmpk9rmrtzd9gnh5rdlv.jpg","A fragmented collection of closed cinemas in London during lockdown, captured on Super 8mm film.",FILM,£800 ,GBP raised,53%,https://www.indiegogo.com/projects/cinema-now-a-short-experimental-doc-about-cinema/pica
12,https://www.indiegogo.com/projects/cinema-now-a-short-experimental-doc-about-cinema/pica,Cinema Now: A Short Experimental Doc about Cinema,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qmpk9rmrtzd9gnh5rdlv.jpg","A fragmented collection of closed cinemas in London during lockdown, captured on Super 8mm film.",FILM,£800 ,GBP raised,53%,https://www.indiegogo.com/projects/cinema-now-a-short-experimental-doc-about-cinema/pica
13,https://www.indiegogo.com/projects/detroit-reawakening-a-detroit-become-human-short/pica,DETROIT REAWAKENING: A Detroit Become Human Short,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/y2kvwcafhrkqqmfgv8zc.jpg",Help Octopunk Media remake the queer fan film that brought us all together.,FILM,"$30,163 ",USD raised,302%,https://www.indiegogo.com/projects/detroit-reawakening-a-detroit-become-human-short/pica
14,https://www.indiegogo.com/projects/onexplayer-best-performing-handheld-game-console/pica,ONEXPLAYER: Best Performing Handheld Game Console,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/odtzfxzqe0vyacnhdphw.jpg","8.4 Inch 2.5K IPS Screen, Supreme Performance, Ultimate Experience | Best Performing Game Console.",PRODUCTIVITY,"$14,264,440 ",HKD raised,"7,132%",https://www.indiegogo.com/projects/onexplayer-best-performing-handheld-game-console/pica
15,https://www.indiegogo.com/projects/the-lifeguards-film/pica,The Lifeguards Film,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/u5q1e1baxs9ctpwgeth1.jpg",Ellen Olis's SCAD Senior Thesis Film,FILM,"$1,570 ",USD raised,31%,https://www.indiegogo.com/projects/the-lifeguards-film/pica
16,https://www.indiegogo.com/projects/revolutionizing-sports-safety-and-training/pica,Revolutionizing sports safety and training,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/ahlt81c19ksoinshgkr4.jpg",Join us in reducing concussions and improving youth athletics with tech.,TECH & INNOVATION,"$2,550 ",USD raised,51%,https://www.indiegogo.com/projects/revolutionizing-sports-safety-and-training/pica
17,https://www.indiegogo.com/projects/cimino-home-transform-your-bedroom/pica,CIMINO HOME: Transform Your Bedroom,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/qrpt0xzmfr27hv2lgclw.jpg",Bedding Collection in High-Performance Cotton Percale Designed to Transform Your Bedroom,HOME,"$13,752 ",USD raised,138%,https://www.indiegogo.com/projects/cimino-home-transform-your-bedroom/pica
18,https://www.indiegogo.com/projects/lomi-turn-waste-to-compost-with-a-single-button/pica,Lomi: Turn Waste To Compost With A Single Button,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/r1cnz1tkrt9tyc6f4kkn.jpg",Food waste is gross. It's time for a change.,ENERGY & GREEN TECH,"$6,414,248 ",USD raised,"12,828%",https://www.indiegogo.com/projects/lomi-turn-waste-to-compost-with-a-single-button/pica
19,https://www.indiegogo.com/projects/ladies-night/pica,Ladies Night,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/lcqhjktintvukurjz2wf.jpg","1981, NYC. Six drag queens grapple with being queer, when one of them gets caught in a new threat.",FILM,"$3,383 ",USD raised,25%,https://www.indiegogo.com/projects/ladies-night/pica
20,https://www.indiegogo.com/projects/cool-comfy-shoes-easy-on-you-and-the-planet/pica,Cool Comfy Shoes easy on You and the Planet,"https://c1.iggcdn.com/indiegogo-media-prod-cld/image/upload/c_fill,f_auto,h_273,w_273/thcwjzfxh6kwekxa1jpz.jpg","Introducing Nuven, a new category of super comfortable casual shoes.",FASHION & WEARABLES,"€62,162 ",EUR raised,622%,https://www.indiegogo.com/projects/cool-comfy-shoes-easy-on-you-and-the-planet/pica
